period,year,quarter,carrier_level_percent,carrier_level_ci_low,carrier_level_ci_high
2007Q4,2007,4,-3.464431351125085,-10.665514641210166,4.009341231912377
2008Q1,2008,1,-1.4424569696136171,-8.628647122834074,5.867911405706314
2008Q2,2008,2,0.9917643165938039,-5.2319268850970975,7.113143314894963
2008Q3,2008,3,4.441097253488832,-0.6685594442381073,9.6501391838249
2008Q4,2008,4,5.476745515123853,0.7870698870420464,10.230273638030777
2009Q1,2009,1,5.803433357924683,1.4464279010435166,10.271944117560682
2009Q2,2009,2,5.480292448195092,1.6326089134559105,9.584474693288305
2009Q3,2009,3,2.1878245166118084,-0.5504262769638399,5.225602043069107
2009Q4,2009,4,1.5138706907435149,-1.2766164884215034,4.169256728481698
2010Q1,2010,1,0.5891132921575288,-0.6484395210622956,1.852548755151581
2010Q2,2010,2,0.0,0.0,0.0
2010Q3,2010,3,0.9151803518792057,-0.536070454291135,2.30463424607474
2010Q4,2010,4,1.248893573782627,-1.137586503411337,3.6307816196028875
2011Q1,2011,1,0.4966864692640854,-2.4616095164022385,3.3748146591534303
2011Q2,2011,2,0.25593778489890306,-2.734574075919649,3.2804847093394054
2011Q3,2011,3,1.5250113375833394,-1.495318283839226,4.652815167197103
2011Q4,2011,4,3.760809977348988,0.17510102084926651,7.7959938336137835
2012Q1,2012,1,6.826172549490218,2.9748733330651107,11.447899716083864
2012Q2,2012,2,8.620777498219361,4.543475398035977,13.672004055300423
2012Q3,2012,3,9.742020496546505,5.1678986315978,14.846501521949056
2012Q4,2012,4,9.720041267181259,4.813590191942304,15.03378575779677
2013Q1,2013,1,10.768643734381273,5.773340071050448,16.273281538031565
2013Q2,2013,2,11.248458695693932,5.938805546706125,16.950785382044657
2013Q3,2013,3,12.936188281045654,7.270294317014514,19.19717165160555
2013Q4,2013,4,14.028975108070105,8.55488652464501,20.10540741032861
2014Q1,2014,1,12.78485925555349,7.005710493511666,18.81040600627791
2014Q2,2014,2,13.155037461745833,7.364089153796185,19.426618305648276
2014Q3,2014,3,12.793329435733531,6.966262347745314,19.19934082363585
2014Q4,2014,4,13.181193304044356,7.0068898581911965,19.965936183127457
2015Q1,2015,1,12.92594546209894,6.8453433085401265,19.857146913247053
2015Q2,2015,2,12.616456346661147,6.464701413790998,19.524305613574217
2015Q3,2015,3,12.16471043291024,6.676479791913854,18.24785335748141
2015Q4,2015,4,11.980327076301922,6.618084603393701,17.820148873930684
